video,duration,frames,avg_acceleration
B1_HeavySink_Grok,4.791666666666667,116,30.075050747804
B1_HeavySink_Sora2,9.966666666666669,300,18.494250826262082
B1_HeavySink_Veo2,4.958333333333333,98,132.85272987427638
B1_HeavySink_Veo3,7.958333333333333,192,0.09235606829757141
B1_HeavySink_Wan2.1,5.333333333333333,161,6.440130867848763
B2_LightFloat_Grok,6.0,145,-5.320501046513446
B2_LightFloat_Sora2,9.966666666666669,300,-0.4884315934695936
B2_LightFloat_Veo2,4.958333333333333,102,423.89965984980205
B2_LightFloat_Veo3,7.958333333333333,192,0.34348864627114545
B2_LightFloat_Wan2.1,5.333333333333333,146,8.231300477867705
B3_PopUp_Grok,6.0,145,3.1653012355594017
B3_PopUp_Sora2,9.966666666666669,300,-7.705307437781527
B3_PopUp_Veo2,4.958333333333333,120,1.6118074041856667
B3_PopUp_Veo3,7.958333333333333,192,-1.6320963933065105
B3_PopUp_Wan2.1,5.2,91,-695.5737824119778
G1_EarthFall_Grok,6.0,145,334.41522245547696
G2_MoonFall_Grok,6.0,145,248.78560289334126
