video,frame,t_sec,cx_px,cy_px,mask_area,vx_px_per_s,vy_px_per_s,ax_px_per_s2,ay_px_per_s2
B1_HeavySink_Grok,0,0.0,369.1898594776471,166.46482805764924,1002.5042114257812,6.657497740617611,-83.46728525757261,-25.749911660434304,-680.8640713851694
B1_HeavySink_Grok,1,0.0416666666666666,369.4672552168395,162.9870245052504,988.6023559570312,5.584584754766183,-83.80256418638714,-12.515703700030073,-49.47530368374214
B1_HeavySink_Grok,2,0.0833333333333333,369.6552415405442,159.48128104211696,984.8997802734376,5.614522432281774,-81.07620597285313,-8.816879592133773,397.0658781235427
B1_HeavySink_Grok,3,0.125,369.9351320861963,156.23067400751262,1022.716552734375,4.8498447887550356,-75.06245639213262,-7.757091600731641,658.7594740366853
B1_HeavySink_Grok,4,0.1666666666666666,370.0593952729405,153.2260763427726,975.2823486328124,4.968098132220803,-67.50117428487306,-33.277542657979154,735.6054840556853
B1_HeavySink_Grok,5,0.2083333333333333,370.3491402638813,150.60557615043987,885.0606079101562,2.0767162339234346,-57.74758236909793,-182.77284467905315,627.603908180546
B1_HeavySink_Grok,6,0.25,370.2324549591007,148.41377781201442,779.2622680664062,-10.262972257700312,-53.921278269542654,-518.0765693849496,-43.21330015520698
B1_HeavySink_Grok,7,0.2916666666666667,369.4938925757396,146.11213629464464,635.2567138671875,-41.096331214822385,-138.72534359408928,-941.0109279830435,-647.0956003252343
B1_HeavySink_Grok,8,0.3333333333333333,366.8077606911989,136.85333251250702,1066.6483154296875,-88.68054958962057,-10.472299689284682,-200.11533813378406,-218.1560840842638
B1_HeavySink_Grok,9,0.375,362.1038467766044,145.23944465387092,572.1082153320312,-57.772609392637605,120.24785649165187,2425.1464398896924,666.0397237176181
B1_HeavySink_Grok,10,0.4166666666666667,361.99337657514576,146.87398722014467,780.9825439453125,113.41498706785387,-208.74358411549838,2280.315907498929,481.876551454009
B1_HeavySink_Grok,11,0.4583333333333333,371.5550956989257,127.84414597757944,2510.2197265625,132.2537162322733,-229.7702269868198,-995.9820448029259,37.55591151538266
B1_HeavySink_Grok,12,0.5,373.0145195945018,127.72646830457634,4069.022216796875,30.416483334276563,-16.856318694129413,-1482.230096814531,-147.4023543679997
B1_HeavySink_Grok,13,0.5416666666666666,374.0898026434488,126.43945275306868,4919.9619140625,8.73454149772897,217.56625764023238,-291.82252620940244,-357.9214978225761
B1_HeavySink_Grok,14,0.5833333333333334,373.7423980526459,145.85698977459575,3330.3203125,6.0979394834930645,6.411015426493805,-94.76581491342225,-68.57070061512718
B1_HeavySink_Grok,15,0.625,374.5979642670732,126.97370403860992,7006.359375,0.8373902549437844,-255.72708596059692,-109.15578534800089,-240.75296467219334
B1_HeavySink_Grok,16,0.6666666666666666,373.8121805738912,124.54639927787935,8134.7080078125,-2.998375962173668,-69.18298280779482,269.4414656670477,-910.6822310228503
B1_HeavySink_Grok,17,0.7083333333333334,374.3480996035588,121.20845547129369,8653.123046875,23.290845727197848,-115.98753530027602,-41.37803605618133,-859.2268334114219
B1_HeavySink_Grok,18,0.75,375.753084384491,114.8807713361897,8574.7138671875,-6.446545633521964,-171.37025268883735,-799.237825518813,167.43963489328436
B1_HeavySink_Grok,19,0.7916666666666666,373.810887467432,106.92760108055725,8159.544921875,-43.312306399369845,-131.79509279601757,-611.8853493901483,1079.881759026832
B1_HeavySink_Grok,20,0.8333333333333334,372.1437255178769,103.89784693652157,8197.7919921875,-57.43699141603429,-53.780339073612595,150.27032832475868,529.9492799288233
B1_HeavySink_Grok,21,0.875,369.0244715160958,102.44590615775618,8681.583984375,-30.789779038973393,-54.342957239359976,1010.0856606951465,-14.933301303529902
B1_HeavySink_Grok,22,0.9166666666666666,369.5779105979624,99.3692671665749,8398.9912109375,26.736813641894514,-44.75267248067644,1057.5030399560205,471.1033072993661
B1_HeavySink_Grok,23,0.9583333333333334,371.25253931958696,98.71651678436649,8286.5478515625,57.33547429069495,-7.114449793265976,-653.9532781930136,645.5603053143559
B1_HeavySink_Grok,24,1.0,374.3558667888536,98.77639635046941,8818.02734375,-27.75929287418967,-9.028152699223028,-1521.963645788063,357.46043803781936
B1_HeavySink_Grok,25,1.0416666666666667,368.9392649134045,97.9641707260979,9252.21484375,-69.49482952497692,-131.66470043159916,-41.95211759428861,211.17636818383863
B1_HeavySink_Grok,26,1.0833333333333333,368.5646309951055,87.80433798116954,7455.6669921875,-31.25530267371414,10.005242395144933,556.176102597127,183.2821039250932
B1_HeavySink_Grok,27,1.125,366.3346563572616,98.79794092569344,10050.099609375,-23.146820975216542,158.1810081857202,-421.1422428553881,87.72157162431412
B1_HeavySink_Grok,28,1.1666666666666667,366.6357292471708,100.9860886633129,10824.376953125,-66.35048957832987,10.764084078396081,-1199.9057228774127,89.11645924597182
B1_HeavySink_Grok,29,1.2083333333333333,360.8054488924009,99.69494793222646,10676.03125,-123.13896454833412,-26.89665334135907,32.64181916163568,227.09134040776394
B1_HeavySink_Grok,30,1.25,356.374148868143,98.74470088486632,10690.4306640625,-63.63033798152628,-10.837512267398779,1212.881642230133,-64.60581854672071
B1_HeavySink_Grok,31,1.2916666666666667,355.50292072727365,98.79182190994322,10877.9921875,-22.065494362489517,16.98619067940308,135.89515554997627,-381.345432893958
B1_HeavySink_Grok,32,1.3333333333333333,354.53535767126886,100.16021677481658,11246.701171875,-52.30574168569456,7.456087692353094,33.99437923190959,-60.37274194973425
B1_HeavySink_Grok,33,1.375,351.1441089201324,99.41316255097263,11735.5078125,-19.232629426496715,38.96873823246801,953.888303217942,88.5967261866869
B1_HeavySink_Grok,34,1.4166666666666667,352.93263855239417,103.40761162752224,12065.04296875,27.18495024913409,36.67412071740955,175.18269547858898,-101.44620800176918
B1_HeavySink_Grok,35,1.4583333333333333,353.4095214408936,102.46933927742344,13150.99609375,-4.63407146994723,-15.150387988781858,-1273.0081002142053,-148.44162634341617
B1_HeavySink_Grok,36,1.5,352.54646592989855,102.14507929512374,13239.666015625,-78.89905810204982,-34.46154384949796,-850.4492343269507,-50.09354422163063
B1_HeavySink_Grok,37,1.5416666666666667,346.83459993238944,99.59754395663194,12706.99609375,-75.50484099719324,-22.734802756991485,837.8891780752031,38.91750315466303
B1_HeavySink_Grok,38,1.5833333333333333,346.2543958467991,100.25051239870777,13004.728515625,-9.07495992911663,8.808719717234908,1303.2100052089472,123.3042781915815
B1_HeavySink_Grok,39,1.625,346.0783532716297,100.33160393306818,13510.1318359375,33.0959927702188,20.11079777384748,1220.4726100787097,271.9942994786102
B1_HeavySink_Grok,40,1.6666666666666667,349.0123952443174,101.92641221319508,13903.314453125,92.63109091077604,24.07297748361907,359.50061491577986,211.02358061322963
B1_HeavySink_Grok,41,1.7083333333333333,353.7976108475276,102.33768539003643,14268.7216796875,63.05437734653424,30.36040520497886,-1812.09774064982,-113.92155435202667
B1_HeavySink_Grok,42,1.75,354.26692668986186,104.45644598027664,13949.94921875,-58.37705414337597,12.573114317776799,-832.3721390213562,-396.4988892346646
