video,frame,t_sec,cx_px,cy_px,mask_area,vx_px_per_s,vy_px_per_s,ax_px_per_s2,ay_px_per_s2
B2_LightFloat_Sora2,0,0.0,631.6523260563742,262.608125762425,5649.494140625,7.00713285671555,8.106830849386606,-200.35752653551796,-44.42079939468095
B2_LightFloat_Sora2,1,0.0333333333333333,631.8858971515981,262.87835345740456,5665.6005859375,0.3285486388649588,7.446781455148084,-150.2400351705094,-35.53283433195097
B2_LightFloat_Sora2,2,0.0666666666666666,631.6742292989652,263.10457785943487,5635.03955078125,-3.0088694879850664,4.824903109111801,-49.7799055660927,-27.86893098520493
B2_LightFloat_Sora2,3,0.1,631.6853058523991,263.2000136646787,5637.16748046875,-2.990111732207879,-0.11530921216581191,-39.29576423408446,-21.429089354442816
B2_LightFloat_Sora2,4,0.1333333333333333,631.4748885168179,263.0968905786238,5693.66796875,-5.628587103590689,3.508625767268313,-33.74946635704877,-16.213309439664634
B2_LightFloat_Sora2,5,0.1666666666666666,631.3100667121597,263.43392204916324,5665.1953125,-5.240076156011128,7.042446092833416,-22.581612026951788,-12.22159124087042
B2_LightFloat_Sora2,6,0.2,631.1255501064172,263.5663869848127,5661.52294921875,-7.134027905387484,4.010524270023325,-71.35888452038671,-6.041265945208729
B2_LightFloat_Sora2,7,0.2333333333333333,630.8344648518005,263.7012903338314,5674.53955078125,-9.997335124036908,4.325612921098582,-37.16680143416855,-5.9711558293151175
B2_LightFloat_Sora2,8,0.2666666666666666,630.459061098148,263.8547611795526,5680.427734375,-9.611814667665385,2.0348362728177563,29.170983536032452,-16.84947136438736
B2_LightFloat_Sora2,9,0.3,630.1936772072893,263.83694608535257,5704.85546875,-8.052602888301408,0.3079055217108362,-3.1766267017247856,-19.803193521565397
B2_LightFloat_Sora2,10,0.3333333333333333,629.9222209055945,263.8752882143333,5723.30029296875,-9.823589781113697,1.8196211762574421,-43.600407542553526,-5.1190857185308065
B2_LightFloat_Sora2,11,0.3666666666666666,629.5387712218818,263.95825416376977,5729.11474609375,-10.959296724471642,1.6033633815081885,-47.66285536076785,7.557376808364807
B2_LightFloat_Sora2,12,0.4,629.1916011239631,263.9821791064339,5742.36767578125,-13.001113471831559,2.325484448324005,-62.75284687214477,17.05199263732543
B2_LightFloat_Sora2,13,0.4333333333333333,628.6720303237597,264.1132864603247,5726.81201171875,-15.142819849281295,3.989515844469679,5.884517463573246,17.308451235139582
B2_LightFloat_Sora2,14,0.4666666666666667,628.1820798006776,264.24814682939854,5737.6357421875,-12.608812307593325,2.876341070160379,66.65165327835885,4.13111530692572
B2_LightFloat_Sora2,15,0.5,627.8314428365868,264.3050425316687,5750.10009765625,-10.6993762973907,2.7221818921930208,44.09978731426236,-0.13521725559256792
B2_LightFloat_Sora2,16,0.5333333333333333,627.4687880475183,264.4296256222114,5763.82861328125,-9.668826486642502,4.457461249869539,51.35343972136981,3.1212257006366255
B2_LightFloat_Sora2,17,0.5666666666666667,627.1868544041439,264.6022066149933,5749.33935546875,-7.27581364929938,3.361305536699547,66.21883501036793,3.682754249502864
B2_LightFloat_Sora2,18,0.6,626.9837338042316,264.6537126579914,5771.25146484375,-5.2542374859513075,2.1297650900601184,30.461561028578217,9.10863345627877
B2_LightFloat_Sora2,19,0.6333333333333333,626.8365719050805,264.74419095433063,5772.90234375,-5.245042914060832,3.3296388241578825,23.178301081052275,12.127087689133795
B2_LightFloat_Sora2,20,0.6666666666666666,626.6340642766276,264.8756885796019,5782.14599609375,-3.7090174138811562,4.792228977704781,57.47052644665929,8.90992573549378
B2_LightFloat_Sora2,21,0.7,626.5893040774885,265.06367288617764,5809.20654296875,-1.413674484283547,4.848837436224585,49.86274302491439,148.54799396163907
B2_LightFloat_Sora2,22,0.7333333333333333,626.5398193110086,265.19894440868353,5813.1611328125,-0.3848345455535309,4.058748572705099,24.315272123330928,501.3389300886597
B2_LightFloat_Sora2,23,0.7666666666666667,626.5636484411183,265.334256124358,5834.88916015625,0.20734365727184922,3.595473422039049,59.32906815542088,81.42428832997174
B2_LightFloat_Sora2,24,0.8,626.5536422214934,265.43864263681945,5837.65234375,3.5704366648078576,1.517040255451775,118.16655784607066,-665.4751119805842
B2_LightFloat_Sora2,25,0.8333333333333334,626.8016775521055,265.4353921413881,5791.75439453125,8.085114180343226,-1.576520259694007,43.33247150727403,-1610.9253952740082
B2_LightFloat_Sora2,26,0.8666666666666667,627.0926498335164,265.33354128617316,5780.72265625,6.459268098626126,-8.433450326729144,106.75024394609865,-4081.143896752591
B2_LightFloat_Sora2,27,0.9,627.2322954253473,264.87316211960615,5750.85791015625,15.201797110083135,-130.61994614850119,235.81768649398362,-5518.700317299348
B2_LightFloat_Sora2,28,0.9333333333333332,628.1061029741885,256.6255448762731,5811.9169921875,22.18044719822501,-463.30993522931067,2827.4274216024214,-4478.826593289976
B2_LightFloat_Sora2,29,0.9666666666666668,628.7109919052289,233.9858331043186,6355.216796875,203.69695855024656,-505.9455827791908,1915.8510824038226,-2782.3147862893784
B2_LightFloat_Sora2,30,1.0,641.6859002108715,222.89583935766024,4264.55615234375,149.9038526918157,-879.2679230500044,-3330.412986834979,-1014.9582283304602
B2_LightFloat_Sora2,31,1.0333333333333334,638.7045820846832,175.3679715676514,7240.2890625,-18.330573905419442,-1006.5974807100779,-1427.1575467783034,1803.8378326648603
B2_LightFloat_Sora2,32,1.0666666666666669,640.4638619505102,155.78934064365484,7718.76318359375,54.76001623992852,-406.1757170014762,1057.8384725067751,3489.724703351199
B2_LightFloat_Sora2,33,1.1,642.3552498340117,148.28959043421958,10303.0927734375,52.19199092836607,-239.3763693175365,-181.8158896794746,1526.1053199303271
B2_LightFloat_Sora2,34,1.1333333333333333,643.9433280124014,139.83091602248578,11946.5947265625,42.63895692796359,-255.6322476963528,-506.9832770779326,444.2586967361823
B2_LightFloat_Sora2,35,1.1666666666666667,645.1978469625427,131.24744058779606,12492.349609375,18.393105789837136,-246.0413534579693,-380.19187073720553,562.4655380975116
B2_LightFloat_Sora2,36,1.2,645.1695350650571,123.42815912528783,12229.5849609375,17.292832212149733,-198.52008690428943,310.8451045783181,-703.7762152728606
B2_LightFloat_Sora2,37,1.2333333333333334,646.3507024433528,118.01276812751013,11262.2822265625,39.11611276172516,-833.4926429473921,219.60657764707037,-375.02069314049265
B2_LightFloat_Sora2,38,1.2666666666666666,647.7772759158387,67.86198292879533,6033.3681640625,31.933270721954614,-815.7859480979199,-315.94665819829,1392.8481650722708
B2_LightFloat_Sora2,39,1.3,648.4795871581499,63.62703825431578,6015.8984375,18.053002215172455,-95.7498471026961,-199.0663913977354,2483.903248904552
B2_LightFloat_Sora2,40,1.3333333333333333,648.9808093968502,61.47865978861557,5929.9814453125,18.66217796210549,-57.095027522619034,47.33874777833063,3222.6872437375596
B2_LightFloat_Sora2,41,1.3666666666666667,649.7237323556237,59.82070308614118,5864.2099609375,21.20891873372784,-34.228061567828036,49.04248452426128,4012.3528562384704
B2_LightFloat_Sora2,42,1.4,650.394737312432,59.19678901742702,5845.23046875,21.931676930389585,-10.706889315776493,21.35719246023666,2729.9037183068176
B2_LightFloat_Sora2,43,1.4333333333333331,651.1858441509829,59.10691046508941,5863.23681640625,22.63273156441028,1.0484118934941762,-38.46226107576473,-153.47191081007622
B2_LightFloat_Sora2,44,1.4666666666666666,651.9035860833926,59.266683143659975,5851.77783203125,19.367526192005244,11.686782605402755,-68.09065054532749,-524.7949954960175
