video,frame,t_sec,cx_px,cy_px,mask_area,vx_px_per_s,vy_px_per_s,ax_px_per_s2,ay_px_per_s2
B1_HeavySink_Sora2,0,0.0,628.9164098181981,288.72455464975326,2916.2041015625,3.5666667311215896,-187.45100759734234,19.954120543516098,-826.0329611766954
B1_HeavySink_Sora2,1,0.0333333333333333,629.0352987092355,282.47618772984185,2977.859619140625,4.2318040825721255,-218.59739524535325,-64.71591766757241,-1016.1795347903771
B1_HeavySink_Sora2,2,0.0666666666666666,629.1985300903696,274.1513949667297,2868.56005859375,-0.7477277800498996,-254.29849611443524,-84.1928682204072,-1084.5992626051398
B1_HeavySink_Sora2,3,0.1,628.9854501905654,265.5229546555462,2858.958740234375,-1.3810537987883436,-290.6214877969692,-1333.1066643340218,-1031.2921446209832
B1_HeavySink_Sora2,4,0.1333333333333333,629.1064598371171,254.7766291135984,3085.466796875,-89.62150540231778,-289.9932200475523,-1599.9294846907214,-856.2581808379077
B1_HeavySink_Sora2,5,0.1666666666666666,623.0106831637443,246.1900733190427,3096.082763671875,-108.04301944483632,-252.97849400988935,1199.7933057779783,-559.4973712559126
B1_HeavySink_Sora2,6,0.2,621.903591874128,237.9113961796058,4725.849609375,-9.635285017118804,-336.0321841583518,4670.553170938622,123.07569318839205
B1_HeavySink_Sora2,7,0.2333333333333333,622.3683308292696,223.78792770848588,4114.2890625,203.32719195107165,-553.8563274932303,3044.684588859512,680.7861045078835
B1_HeavySink_Sora2,8,0.2666666666666666,635.4587380041994,200.9876410133905,2370.6494140625,193.34368757351513,-417.2543950466538,-3152.5860038230267,1087.0892354397702
B1_HeavySink_Sora2,9,0.3,635.2579100008371,195.97096803870897,3145.17822265625,-6.845208303797335,-153.6300324873905,-2982.697722842624,1367.441547736452
B1_HeavySink_Sora2,10,0.3333333333333333,635.0023907839462,190.74563884756446,3777.26708984375,-5.5028272826602915,-157.99042955857067,171.28181386307955,1665.2783943078825
B1_HeavySink_Sora2,11,0.3666666666666666,634.8910548486598,185.4382727348043,4568.73779296875,4.573579287074608,-149.73150231306818,332.21335712281837,1664.4501473414607
B1_HeavySink_Sora2,12,0.4,635.3072960697513,180.76353869335992,5357.748046875,16.644729858860956,-134.22997469135544,105.88420637009999,761.6143006645586
B1_HeavySink_Sora2,13,0.4333333333333333,636.000703505917,176.48960775538058,6208.806640625,11.632526378414696,-131.06976704904446,-199.4316331496883,-194.57877090150373
B1_HeavySink_Sora2,14,0.4666666666666667,636.0827978283122,172.02555422342363,6904.69140625,3.3492876488817274,-139.65159145979806,-107.06581752727256,-168.32025299245996
B1_HeavySink_Sora2,15,0.5,636.2239893491758,167.1795016580607,7680.94140625,4.494805209929837,-139.0840035224478,-8.074661048340204,10.861500583466139
