video,duration,frames,avg_acceleration
G1_EarthFall_Grok,6.0,145,334.4152224554764
G1_EarthFall_Sora2,9.966666666666669,300,160.54117442989568
G1_EarthFall_Veo2,4.958333333333333,120,200.34125617108722
G1_EarthFall_Veo3,7.958333333333333,192,5.163255404458691
G1_EarthFall_Wan2.1,5.333333333333333,161,5.524745373689556
G2_MoonFall_Grok,6.0,145,248.78560289334092
G2_MoonFall_Sora2,9.966666666666669,300,192.34175634972155
G2_MoonFall_Veo2,4.958333333333333,120,63.67889453595088
G2_MoonFall_Veo3,7.958333333333333,192,35.72243075941615
G2_MoonFall_Wan2.1,2.8666666666666667,87,77.74667804051543
