video,frame,t_sec,cx_px,cy_px,mask_area,vx_px_per_s,vy_px_per_s,ax_px_per_s2,ay_px_per_s2
G1_EarthFall_Veo3,0,0.0,639.4138957676165,406.8533832321274,6688.11572265625,29.89804742296751,-360.94018420705436,-677.8922875268494,4964.808511006572
G1_EarthFall_Veo3,1,0.0416666666666666,640.6596477435735,391.8142088901668,7037.84375,1.652535442682165,-109.84218609699474,-516.2572632044623,3108.468656294419
G1_EarthFall_Veo3,2,0.0833333333333333,639.5516070545067,397.69986772404457,6627.7783203125,-13.1233911774043,-0.45448022608979954,-15.260289112116869,1564.828110951505
G1_EarthFall_Veo3,3,0.125,639.5660318121231,391.7763355379927,6609.60595703125,0.3808446833390917,-153.92860035115882,80.34727454727127,333.8868749778303
G1_EarthFall_Veo3,4,0.1666666666666666,639.5833441114517,384.87248436144796,6610.33251953125,-6.42778496513165,-177.22159910070422,-10.193762526924132,-584.355051626605
G1_EarthFall_Veo3,5,0.2083333333333333,639.0303830650288,377.0078689462673,6656.96875,-0.46863552723789326,-197.45193166876743,89.25198810386424,-1189.8976688618156
G1_EarthFall_Veo3,6,0.25,639.5442911508485,368.41815672238397,6620.1220703125,1.009880710190373,-212.51912486787023,-75.600139550701,-1080.2184119491735
G1_EarthFall_Veo3,7,0.2916666666666667,639.114539790878,359.29794187394475,6673.443359375,-6.7686471564629755,-229.88742010415535,-39.06947854188892,-549.9458750122045
G1_EarthFall_Veo3,8,0.3333333333333333,638.9802372211433,349.26087171370443,6685.4580078125,-2.2459091683003862,-253.37501739919298,68.06940373361437,-378.27547572244794
G1_EarthFall_Veo3,9,0.375,638.9273806935196,338.18335709067867,6680.6123046875,-1.0961968453284499,-280.963229726955,41.013288421545425,-505.30083925929057
G1_EarthFall_Veo3,10,0.4166666666666667,638.8888874840326,325.84726923645815,6625.01220703125,1.1718648668284004,-307.62595447547574,31.4378682999886,-499.9242021122643
G1_EarthFall_Veo3,11,0.4583333333333333,639.0250360990887,312.5478608843891,6619.23291015625,1.5236255130039353,-322.8867738963427,-35.88843045899916,-490.885566020739
G1_EarthFall_Veo3,12,0.5,639.0158562767829,298.94003807842955,6645.36181640625,-1.8188376714215337,-338.44671937809017,-45.61974943116362,-480.90691791019196
G1_EarthFall_Veo3,13,0.5416666666666666,638.873466293137,284.3439676028816,6675.12255859375,-2.278020272926369,-356.50468886745966,19.37777309749063,-468.14206956084064
G1_EarthFall_Veo3,14,0.5833333333333334,638.826021254039,269.23131400614125,6654.25927734375,-0.20402324663064064,-376.8357600087252,47.49881097254908,-483.01520699297595
G1_EarthFall_Veo3,15,0.625,638.8564643559178,252.9409876021545,6611.5283203125,1.6802139747860565,-398.8422554726685,18.59251389302155,-508.61106848720345
G1_EarthFall_Veo3,16,0.6666666666666666,638.9660390852712,235.99445938341887,6637.62890625,1.3453529111211537,-425.10850433214955,-39.46017482870583,-492.22104335378185
G1_EarthFall_Veo3,17,0.7083333333333334,638.9685770985112,217.5152789078087,6615.48291015625,-1.6081339276061044,-445.40333388161844,-9.306302427608731,-463.77738247304086
G1_EarthFall_Veo3,18,0.75,638.8320279246374,198.877514893284,6662.15283203125,0.5698277088204122,-462.502234002302,39.68083744855907,-458.1116499825467
G1_EarthFall_Veo3,19,0.7916666666666666,639.016062740913,178.97342607428357,6637.716796875,1.6986025264404816,-484.2270690504679,-9.510047454314089,-452.28910649968174
G1_EarthFall_Veo3,20,0.8333333333333334,638.9735781351741,158.52525913907834,6673.5205078125,-0.22267624570577027,-492.70556171702674,-11.193840046307644,-607.7656076697707
G1_EarthFall_Veo3,21,0.875,638.9975063871042,137.9146292645313,6688.61083984375,0.7657825225815031,-513.0417281595687,56.07429488327403,-1304.8081262145138
G1_EarthFall_Veo3,22,0.9166666666666666,639.0373933453892,115.77178179244765,6754.01708984375,4.450181661233728,-543.08214932239,18.79780179908284,-1425.938504217809
G1_EarthFall_Veo3,23,0.9583333333333334,639.3683548588737,92.65778348766543,6760.87646484375,2.3322660058383917,-570.1116580204932,-64.23655837501794,376.99699057586514
G1_EarthFall_Veo3,24,1.0,639.2317488458757,68.26247695740653,6733.54248046875,-0.9028648700177655,-593.3636010608852,5.9903956509076615,2795.6096545756404
G1_EarthFall_Veo3,25,1.0416666666666667,639.2931161197055,43.21081673259164,6696.42041015625,2.831465643414049,-630.6432511107599,34.00132689392532,4490.063606296471
G1_EarthFall_Veo3,26,1.0833333333333333,639.4677043161603,15.708872698176606,6713.2822265625,1.9305790378093661,-518.5298007911008,7.7818582487705825,5463.529359478384
G1_EarthFall_Veo3,27,1.125,639.4539977061895,0.0,6494.5556640625,3.47995383081161,120.38852595187677,4.301733611628144,5675.32419471423
