video,frame,t_sec,cx_px,cy_px,mask_area,vx_px_per_s,vy_px_per_s,ax_px_per_s2,ay_px_per_s2
G2_MoonFall_Wan2.1,0,0.0,415.5784188825925,255.9942652435665,3118.1943359375,3.5231462402714477,-177.11860954945925,-211.71812589525223,1018.6718689108234
G2_MoonFall_Wan2.1,1,0.0333333333333333,415.6958570906015,250.09031159191787,3155.15625,-3.5341246229036187,-136.56920811425607,-133.79174654067944,629.1962849379781
G2_MoonFall_Wan2.1,2,0.0666666666666666,415.3428105743989,246.88965136928277,3088.777099609375,-5.396303529107172,-123.74543054793139,98.28333089070325,306.5607626895054
G2_MoonFall_Wan2.1,3,0.1,415.3361035219944,241.8406162220558,3053.694580078125,3.018097436476637,-167.0406668592277,127.35272510642922,50.76530216540516
G2_MoonFall_Wan2.1,4,0.1333333333333333,415.544017070164,235.75360691200092,3032.881103515625,3.093878144654809,-124.96380412674489,-35.93426043287768,-138.1900966343228
G2_MoonFall_Wan2.1,5,0.1666666666666666,415.54236206497137,233.50969594693947,3034.32373046875,0.6224800742847947,-116.09156299534425,-24.544007974223103,-260.3054337096794
G2_MoonFall_Wan2.1,6,0.2,415.585515741783,228.01416937897798,3054.02392578125,1.4576109463732791,-168.28317140062018,51.35402160981363,-229.3398163028661
G2_MoonFall_Wan2.1,7,0.2333333333333333,415.6395361280629,222.29081785356476,3023.97216796875,4.046081514939033,-173.40461885543755,15.283050104390004,-126.88191410434868
G2_MoonFall_Wan2.1,8,0.2666666666666666,415.8552545094456,216.45386145528218,3039.554443359375,2.4764809533326115,-166.09719668537127,-139.1921975168086,-242.00350511267774
G2_MoonFall_Wan2.1,9,0.3,415.804634858285,211.2176714078733,3040.13427734375,-5.23339831951489,-163.61936454201486,-88.23906529990808,-241.0609740916723
G2_MoonFall_Wan2.1,10,0.3333333333333333,415.50636128814455,205.54590381914784,3038.978515625,-3.4061233999946126,-169.7374272966208,102.81918734978737,94.7670262910272
G2_MoonFall_Wan2.1,11,0.3666666666666666,415.5775599649521,199.90184292143198,3045.75244140625,1.621214170470921,-170.8596183019008,84.17031722498024,173.97071707638622
G2_MoonFall_Wan2.1,12,0.4,415.61444223284263,194.15526259902114,3043.1650390625,2.2052310816707177,-177.5400919337958,9.440224261679713,67.7322963995039
G2_MoonFall_Wan2.1,13,0.4333333333333333,415.7245753703968,188.06583679251221,3040.617919921875,2.250562454582905,-183.92074373249625,-29.037951173545387,27.63823279037263
G2_MoonFall_Wan2.1,14,0.4666666666666667,415.7644797298148,181.8938796835214,3085.5400390625,0.26936767010101903,-140.00298438587242,-3.7950807939977445,-36.74314291162594
G2_MoonFall_Wan2.1,15,0.5,415.7425332150701,178.7323045001207,3036.271728515625,1.9975570683163824,-144.64519586913184,-2.165697974874093,-96.83153670757783
G2_MoonFall_Wan2.1,16,0.5333333333333333,415.8976502010359,172.25086662557928,3015.62841796875,0.12498780510941288,-178.8080559146856,-121.52623192902867,-107.72919252391088
G2_MoonFall_Wan2.1,17,0.5666666666666667,415.75086573541074,166.81176743914168,3028.30615234375,-6.104191726952195,-176.42457278699976,-85.39914386059992,-137.6328265085875
G2_MoonFall_Wan2.1,18,0.6,415.49070408590575,160.48922843977928,3017.58740234375,-5.568288452263914,-193.68835674962065,87.20744567794556,-333.1073768138914
G2_MoonFall_Wan2.1,19,0.6333333333333333,415.3796465052598,153.8992103225003,3013.656982421875,-0.2903620150891584,-195.85209737755895,123.79658011037921,-308.4520005163956
G2_MoonFall_Wan2.1,20,0.6666666666666666,415.4713466182331,147.43242194794203,3015.6142578125,2.6848168884280312,-187.05330600652815,21.519454512008455,46.99948772165871
G2_MoonFall_Wan2.1,21,0.7,415.5586342978217,141.42898992206509,3059.2119140625,1.144268285711405,-186.7029691617654,-36.19846273877557,144.7952468647451
G2_MoonFall_Wan2.1,22,0.7333333333333333,415.5476311706139,134.98555733715767,3073.728515625,0.2715860391763272,-206.44509476841517,21.101550908442544,37.84056231235569
G2_MoonFall_Wan2.1,23,0.7666666666666667,415.5767400337668,127.66598360417069,3047.593994140625,2.551038346274254,-218.50755152364127,35.95595228279292,-20.697800942728655
G2_MoonFall_Wan2.1,24,0.8,415.71770039369886,120.41838723558158,3050.842041015625,2.6686495246958657,-159.2513701807227,-88.02697067990267,-46.751708703431106
G2_MoonFall_Wan2.1,25,0.8333333333333334,415.7546500020798,117.04922559212253,3039.554931640625,-3.317426365719257,-161.61946265188703,-9.03498495343229,-40.940810940004255
G2_MoonFall_Wan2.1,26,0.8666666666666667,415.4965386359842,109.64375639212244,3068.45068359375,2.0663171944670466,-217.3553336025832,86.08004304208863,-56.17184205918603
G2_MoonFall_Wan2.1,27,0.9,415.89240448171097,102.55887001861697,3021.040771484375,2.4212431704199844,-214.9645151930456,-76.68765786927496,-125.99824526229645
G2_MoonFall_Wan2.1,28,0.9333333333333332,415.6579548473456,95.3127887125861,3046.880859375,-3.0461933301512545,-200.82232932273428,-35.94587815233477,-333.80222134716456
G2_MoonFall_Wan2.1,29,0.9666666666666668,415.6893249263676,89.17071473043467,3051.066650390625,0.024851293597748736,-200.65093320503365,31.16659675049894,-268.82046984267225
G2_MoonFall_Wan2.1,30,1.0,415.6596116002521,81.93605983225052,3036.85498046875,-0.9684202134512816,-215.96483054501118,22.311270231670843,171.4212770466833
G2_MoonFall_Wan2.1,31,1.0333333333333334,415.6247635788042,74.77305936076726,3020.22216796875,1.5122693090424946,-220.52225126356439,16.87645293050077,274.0576441117867
